0 1331 1182 1168 1339
1 1331 1181 1171 1339
2 1333 1180 1171 1339
3 1333 1179 1171 1340
4 1328 1178 1168 1340
5 1333 1183 1168 1340
6 1330 1181 1168 1336
7 1329 1177 1170 1336
8 1331 1179 1167 1335
9 1329 1179 1167 1333
10 1328 1179 1168 1334
11 1329 1179 1167 1332
12 1323 1178 1168 1331
13 1328 1174 1166 1330
14 1328 1176 1167 1329
15 1328 1177 1166 1327
16 1327 1179 1164 1325
17 1327 1177 1167 1321
18 1329 1177 1164 1309
19 1329 1179 1164 1270
20 1323 1175 1160 1011
21 1325 1178 1159 930
22 1324 1179 1158 864
23 1319 1175 1157 821
24 1321 1178 1158 791
25 1319 1175 1157 771
26 1317 1174 1154 762
27 1315 1172 1149 769
28 1309 1171 1140 783
29 1310 1163 1122 811
30 1313 1160 1069 880
31 1304 1154 959 1022
32 1299 1143 845 1220
33 1299 1137 765 1316
34 1296 1136 759 1327
35 1293 1134 768 1330
36 1284 1132 777 1332
37 1278 1125 788 1334
38 1268 1109 812 1336
39 1252 1025 936 1340
40 1231 850 1113 1342
41 1191 784 1137 1343
42 1153 776 1140 1344
43 1152 773 1142 1344
44 1155 770 1142 1345
45 1153 772 1144 1345
46 1149 776 1144 1346
47 1142 776 1143 1346
48 1103 833 1145 1347
49 907 1035 1148 1346
50 801 1094 1150 1347
51 799 1097 1149 1347
52 797 1102 1149 1347
53 791 1101 1151 1346
54 790 1098 1151 1346
55 784 1100 1150 1347
56 783 1099 1150 1346
57 780 1098 1149 1347
58 776 1098 1149 1347
59 774 1099 1147 1347
60 775 1100 1150 1346
61 779 1099 1150 1347
62 832 1111 1154 1345
63 1158 1165 1173 1340
64 1311 1182 1170 1341
65 1328 1181 1173 1342
66 1329 1183 1170 1343
67 1325 1178 1169 1342
68 1329 1181 1171 1343
69 1328 1184 1171 1342
70 1326 1182 1171 1343
71 1333 1179 1171 1342
72 1334 1181 1170 1341
73 1327 1182 1171 1342
74 1334 1182 1171 1341
75 1333 1182 1171 1342
76 1334 1183 1171 1342
77 1334 1183 1170 1343
78 1330 1180 1171 1343
79 1334 1181 1170 1342
80 1333 1181 1169 1342
81 1333 1183 1171 1342
82 1332 1182 1173 1341
83 1333 1183 1173 1343
84 1335 1182 1171 1342
85 1334 1184 1171 1342
86 1333 1183 1171 1342
87 1335 1182 1170 1341
88 1332 1183 1172 1341
89 1334 1183 1173 1343
90 1329 1180 1171 1342
91 1328 1182 1171 1342
92 1330 1182 1170 1340
93 1333 1182 1172 1342
94 1334 1182 1171 1343
95 1335 1183 1171 1341
96 1333 1183 1171 1341
97 1335 1184 1172 1343
98 1331 1182 1170 1341
99 1328 1184 1172 1342
