0 811 759 1074 1023 901
52 806 754 1074 1025 901
106 805 760 1074 1024 902
161 805 755 1073 1023 901
216 806 759 1073 1023 901
272 808 758 1073 1024 902
326 809 759 1073 1023 901
383 803 759 1074 1024 901
437 810 759 1074 1025 902
491 807 759 1074 1024 902
546 805 759 1074 1025 901
601 804 759 1073 1023 902
655 805 754 1073 1023 901
710 805 759 1073 1023 901
764 809 759 1073 1023 901
819 805 754 1073 1023 901
874 808 759 1074 1023 902
928 805 754 1073 1023 902
982 805 759 1073 1023 901
1037 805 756 1073 1024 902
1092 805 756 1073 1024 902
1147 809 754 1074 1024 902
1202 807 754 1074 1024 902
1257 808 752 1074 1025 902
1312 805 747 1074 1025 902
1367 805 747 1074 1024 903
1422 810 752 1074 1024 902
1477 809 751 1075 1025 902
1532 808 751 1075 1025 902
1587 806 750 1075 1025 902
1640 805 745 1074 1026 902
1695 805 748 1075 1025 902
1750 804 745 1075 1025 902
1805 803 737 1074 1025 903
1858 809 696 1074 1025 903
1913 803 637 1075 1026 903
1967 808 604 1074 1026 903
2022 808 586 1074 1025 902
2077 807 578 1075 1024 902
2130 804 578 1074 1024 903
2185 802 577 1075 1025 903
2239 803 578 1074 1024 903
2294 801 578 1074 1025 903
2347 801 577 1074 1025 903
2402 797 589 1074 1025 903
2455 772 596 1074 1024 903
2510 735 602 1074 1025 903
2564 717 613 1074 1025 903
2619 688 622 1073 1024 902
2674 667 637 1073 1024 903
2729 688 669 1073 1023 902
2784 641 691 1073 1023 903
2839 633 714 1072 1023 902
2893 625 732 1072 1023 902
2947 620 741 1072 1023 902
3003 616 750 1072 1023 902
3058 611 751 1072 1023 902
3113 609 752 1073 1023 902
3168 612 753 1072 1023 902
3223 612 753 1073 1023 902
3276 610 754 1072 1023 903
3332 620 754 1073 1023 903
3385 611 755 1072 1023 903
3440 612 755 1073 1024 902
3494 617 755 1073 1024 903
3549 634 756 1073 1024 903
3605 673 756 1072 1023 902
3660 717 757 1072 1023 902
3715 772 755 1073 1023 902
3770 795 752 1072 1022 902
3825 801 756 1073 1024 902
3880 799 757 1073 1023 902
3935 800 752 1073 1023 902
3990 801 753 1073 1023 902
4045 803 758 1073 1024 902
4098 800 757 1072 1022 902
4153 803 758 1073 1023 902
4207 801 757 1073 1023 902
4262 801 758 1074 1024 902
4317 801 752 1072 1022 902
4372 800 757 1073 1023 902
4428 807 757 1073 1023 902
4483 800 752 1072 1023 902
4539 808 756 1073 1023 902
4591 800 752 1073 1023 902
4647 800 757 1072 1022 902
4701 800 757 1072 1023 902
4756 801 753 1072 1023 902
4811 803 756 1072 1023 902
4866 800 757 1072 1023 902
4921 800 752 1073 1023 902
4976 800 752 1073 1024 902
5031 800 757 1072 1023 902
5086 799 756 1079 1023 902
5141 800 751 1072 1023 902
5196 768 773 1071 1023 902
5251 685 756 1072 1022 902
5304 634 756 1072 1023 902
5360 619 755 1076 1029 902
5415 613 754 1072 1023 902
5470 612 754 1072 1023 903
5525 613 753 1073 1023 902
5580 623 751 1072 1023 902
5633 624 740 1072 1024 902
5688 634 722 1072 1023 902
5742 647 679 1073 1024 903
5797 658 642 1073 1024 903
5851 685 626 1074 1024 903
5906 700 615 1075 1025 903
5960 734 604 1074 1024 903
6015 768 595 1073 1025 903
6070 796 591 1075 1025 904
6124 801 584 1074 1025 903
6179 803 578 1074 1025 903
6233 801 578 1075 1026 903
6289 802 578 1075 1026 903
6344 806 580 1075 1025 903
6399 803 581 1075 1025 903
6454 802 586 1075 1026 903
6508 805 593 1076 1026 903
6563 803 612 1076 1027 903
6617 804 643 1076 1026 904
6672 804 683 1076 1025 904
6727 808 724 1075 1027 903
6781 811 741 1076 1027 903
6837 804 740 1076 1026 904
6893 805 742 1076 1026 904
6948 807 748 1077 1027 904
7002 805 743 1076 1026 904
7056 810 748 1076 1027 904
7111 805 747 1076 1027 904
7166 807 747 1076 1027 903
7219 808 747 1076 1026 903
7274 804 747 1075 1026 902
7329 808 751 1075 1024 901
7384 805 757 1073 1024 901
7439 805 753 1074 1024 901
7495 806 758 1073 1023 901
7548 805 753 1073 1024 901
7603 807 758 1074 1023 901
7656 805 753 1073 1023 901
7713 805 758 1074 1023 901
7768 808 758 1074 1024 902
7823 805 753 1073 1023 901
7877 806 758 1073 1025 901
7932 805 753 1073 1023 901
7987 805 759 1074 1024 902
8042 807 759 1074 1025 901
8095 814 758 1074 1023 901
8150 805 758 1074 1023 901
8205 808 758 1074 1023 901
8260 807 758 1074 1024 901
8314 808 758 1074 1024 902
8369 808 759 1074 1024 902
8422 806 754 1074 1024 901
8477 805 758 1074 1023 901
8533 804 753 1074 1023 901
8588 805 758 1073 1024 901
8643 805 758 1074 1023 901
8698 804 753 1074 1023 902
8753 805 753 1073 1023 901
8808 805 758 1074 1024 901
8863 805 753 1073 1024 901
8918 805 753 1073 1024 902
8973 805 753 1073 1024 901
9028 805 752 1074 1024 901
9083 808 757 1074 1024 901
9137 804 757 1074 1024 901
9192 808 756 1073 1024 901
9248 803 575 1075 1026 903
9303 802 575 1074 1026 903
9358 805 578 1075 1026 902
9412 804 607 1073 1024 901
9467 804 748 1073 1023 901
9522 804 752 1073 1023 901
9577 804 758 1073 1023 901
9632 804 753 1073 1023 901
