1 758 755 996 1323 1272 1014
63 759 756 996 1323 1271 1014
126 758 765 996 1323 1272 1013
190 818 837 996 1324 1271 1014
253 759 760 996 1323 1271 1014
314 759 761 996 1323 1270 1014
376 759 762 996 1323 1271 1014
439 768 758 996 1324 1272 1014
502 760 763 996 1324 1271 1013
565 762 759 996 1324 1272 1014
628 756 765 996 1323 1271 1014
691 762 764 995 1323 1271 1013
754 761 769 996 1323 1271 1013
817 761 768 997 1324 1273 1014
880 759 761 996 1324 1272 1014
943 761 760 996 1323 1272 1014
1006 839 837 997 1325 1273 1014
1070 788 767 996 1323 1271 1013
1130 760 767 996 1322 1271 1014
1193 837 837 996 1325 1272 1014
1256 764 766 996 1322 1271 1013
1319 763 758 996 1322 1271 1013
1382 760 764 996 1322 1271 1013
1444 756 761 996 1323 1271 1013
1507 760 756 995 1323 1270 1013
1570 764 758 996 1324 1272 1013
1633 831 836 996 1324 1270 1013
1696 769 758 996 1323 1271 1013
1759 762 768 996 1323 1271 1013
1822 764 760 996 1323 1272 1013
1884 770 753 996 1323 1272 1013
1947 835 841 1000 1326 1266 965
2010 787 798 1005 1327 1262 951
2073 797 806 1008 1328 1261 939
2136 803 805 1008 1328 1260 937
2199 799 806 1009 1328 1262 938
2261 798 804 1009 1328 1261 937
2324 797 805 1008 1327 1260 938
2387 804 804 1008 1328 1260 937
2450 798 805 1007 1328 1261 941
2513 802 804 1005 1326 1262 944
2576 802 803 1005 1326 1261 947
2639 795 797 1002 1324 1260 948
2702 792 797 1001 1322 1259 950
2765 796 804 1000 1322 1259 943
2826 810 820 998 1321 1259 912
2889 841 833 997 1320 1259 851
2952 786 796 996 1320 1258 792
3016 811 844 995 1319 1257 728
3077 837 843 994 1314 1256 692
3140 843 843 993 1318 1257 677
3203 789 796 992 1318 1255 683
3266 842 842 990 1317 1259 687
3328 788 796 990 1318 1260 689
3391 830 842 989 1316 1253 688
3453 842 843 988 1311 1250 686
3516 844 842 987 1311 1245 688
3579 842 842 987 1310 1244 690
3642 842 842 986 1309 1242 692
3704 842 842 986 1309 1240 695
3768 844 842 985 1309 1234 695
3831 828 842 984 1311 1212 706
3893 841 842 983 1311 1122 706
3956 841 842 982 1313 1003 713
4019 789 795 981 1312 933 739
4082 817 841 981 1310 872 777
4144 822 842 980 1307 850 868
