0 1351 1208 1169 38
1 1351 1210 1172 40
2 1347 1211 1172 39
3 1348 1210 1172 39
4 1350 1212 1173 39
5 1343 1210 1174 40
6 1349 1210 1173 40
7 1349 1208 1172 40
8 1353 1209 1172 40
9 1355 1209 1173 40
10 1355 1211 1171 40
11 1354 1211 1173 40
12 1354 1212 1172 40
13 1349 1210 1171 40
14 1347 1209 1172 41
15 1348 1208 1168 41
16 1353 1208 1168 41
17 1352 1207 1168 41
18 1347 1204 1165 41
19 1346 1203 1159 41
20 1347 1202 1155 41
21 1347 1202 1150 41
22 1345 1199 1142 41
23 1343 1195 1128 42
24 1341 1192 1091 43
25 1326 1161 129 45
26 1306 1143 55 57
27 1304 1138 47 416
28 1301 1131 47 1305
29 1299 1128 50 1313
30 1296 1121 47 1317
31 1292 1112 46 1318
32 1288 1104 47 1320
33 1287 1101 49 1322
34 1279 1094 50 1323
35 1281 1074 50 1323
36 1268 710 54 1323
37 1224 88 60 1323
38 1219 61 100 1324
39 1214 56 275 1331
40 1221 50 1080 1338
41 1225 51 1106 1339
42 1225 53 1110 1337
43 1228 52 1112 1338
44 1227 52 1112 1339
45 1226 53 1113 1338
46 1219 50 1113 1339
47 1219 50 1113 1339
48 1218 52 1114 1339
49 1219 52 1113 1340
50 1217 51 1114 1340
51 1211 51 1113 1340
52 1203 50 1112 1340
53 1190 51 1114 1339
54 1155 53 1114 1339
55 482 65 1106 1340
56 91 138 1109 1341
57 59 242 1114 1341
58 61 1045 1130 1340
59 61 1057 1131 1339
60 62 1057 1132 1339
61 62 1057 1132 1341
62 71 1055 1131 1342
63 71 1056 1134 1341
64 69 1055 1133 1340
65 70 1055 1134 1339
66 74 1056 1134 1339
67 75 1057 1134 1340
68 77 1058 1134 1341
69 77 1059 1134 1341
70 76 1059 1135 1341
71 82 1058 1135 1341
72 114 1061 1135 1339
73 164 1068 1142 1341
74 1058 1123 1160 1341
75 1236 1170 1173 1335
76 1316 1195 1173 1336
77 1322 1180 1167 1338
78 1326 1181 1171 1337
79 1331 1184 1169 1335
80 1329 1184 1169 1338
81 1329 1182 1171 1338
82 1337 1183 1168 1336
83 1337 1184 1171 1338
84 1340 1187 1172 1336
85 1338 1187 1172 1337
86 1332 1187 1171 1338
87 1332 1186 1171 1338
88 1335 1186 1171 1338
89 1335 1187 1170 1338
90 1333 1185 1170 1338
91 1332 1184 1170 1339
92 1338 1184 1170 1339
93 1338 1184 1172 1339
94 1339 1186 1169 1339
95 1338 1187 1171 1337
96 1339 1187 1171 1337
97 1333 1186 1170 1338
98 1333 1187 1170 1338
99 1334 1183 1172 1338
